01FFC714    OS_IrqHandler_ThreadSwitch
02068000    ENV_GetClass
02068000    G3dGlbGetBaseScale
02068070    ENV_GetClass
02068070    G3dGlbGetBaseScale
0206807C    ENV_GetClass
0206807C    G3dGlbGetBaseScale
020680EC    ENV_GetClass
020680EC    G3dGlbGetBaseScale
020680F8    ENV_GetClass
020680F8    G3dGlbGetBaseScale
020681BC    ENV_GetClass
020681BC    G3dGlbGetBaseScale
020681C8    ENV_GetClass
020681C8    G3dGlbGetBaseScale
0206821C    ENV_GetClass
0206821C    G3dGlbGetBaseScale
02068228    ENV_GetClass
02068228    G3dGlbGetBaseScale
0206827C    ENV_GetClass
0206827C    G3dGlbGetBaseScale
02068288    ENV_GetClass
02068288    G3dGlbGetBaseScale
0206833C    ENV_GetClass
0206833C    G3dGlbGetBaseScale
02068348    ENV_GetClass
02068348    G3dGlbGetBaseScale
020683FC    ENV_GetClass
020683FC    G3dGlbGetBaseScale
02068408    ENV_GetClass
02068408    G3dGlbGetBaseScale
02068454    G2dFontSetLineFeed
020684E0    ENV_GetClass
020684E0    G3dGlbGetBaseScale
020684EC    ENV_GetClass
020684EC    G3dGlbGetBaseScale
020685A0    ENV_GetClass
020685A0    G3dGlbGetBaseScale
020685AC    ENV_GetClass
020685AC    G3dGlbGetBaseScale
0206881C    ENV_GetClass
0206881C    G3dGlbGetBaseScale
02068828    ENV_GetClass
02068828    G3dGlbGetBaseScale
02069D60    OS_WaitAnyIrq
0206B128    OS_WaitAnyIrq
0206B230    OS_WaitAnyIrq
0206B668    OS_WaitAnyIrq
0206BA20    OS_WaitAnyIrq
0206BA34    OS_WaitAnyIrq
0206CB8C    FS_SeekFileToBegin
0206E7E8    MATH_CRC8Init
0206E7E8    MATH_CRC8Init
0206E840    MATH_CRC8Init
0206E840    MATH_CRC8Init
0206ECA4    ENV_GetClass
0206ECA4    G3dGlbGetBaseScale
0206ECB0    ENV_GetClass
0206ECB0    G3dGlbGetBaseScale
020737D0    CTRDG_SetPulledOutCallback
020737D0    EXT_TestSetVRAMForScreenShot
02079140    OS_IsAlarmAvailable
02079140    OS_IsVAlarmAvailable
02079210    ENV_GetClass
02079210    G3dGlbGetBaseScale
02079DF0    GX_GetDefaultDMA
02079DF0    GX_GetDefaultDMA
02079E20    G3dGeIsBufferExist
02079E20    MBi_IsTaskAvailable
02079E84    MBi_SetScanLockFunc
02079F98    OS_SetSharedArenaHi
0207A3D0    MTX_Scale44
0207A428    MTX_Scale44
